채널,게시일,제목,주요내용,링크,id,썸네일URL,분야태그,비고
유튜브,2026-02-08,과학기술정보통신부 기관 업무보고｜한국생산기술연구원,,https://www.youtube.com/watch?v=9SlfhFEjPWA,9SlfhFEjPWA,https://i.ytimg.com/vi/9SlfhFEjPWA/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBFLokd3uB1rF-4Cj49s0ZLbFFsWg,,
보도자료,2026-02-05,150톤급 지능형 대형 크롤러 크레인 국산화,"150톤급 지능형 대형 크롤러 크레인 국산화 - 4대 핵심 요소기술 개발, 시험운용 후 기술 표준화 - 비전 기반 안전관리 시스템 적용, 운전자에게 위험 경고해 사고 예방 □ 크롤러 크레인(Crawler Crane)은 150톤급 이상의 대형 건설·토목 공사 현장에서 중량 구조물을 인양하거나 설치하는 데 사용되는 장비로, 사고 발생 시 중대재해로 이어질 위험",https://www.kitech.re.kr/pages/61?id=14254&menuMode=READ&q=,14254,https://www.kitech.re.kr/api/v1/attachment/8349f7cf-e121-47cf-85fc-743ea0f4e918?size=640,,
보도자료,2026-01-22,긁힘에도 10초 이내 복구되는 자가치유 코팅 소재 개발,"긁힘에도 10초 이내 복구되는 자가치유 코팅 소재 개발 - 고경도, 빠른 자가치유, 20만 회 이상 유연 신뢰성 구현 - 첨가제만 추가해 기존 생산 공정과 호환, 대량 생산도 용이 □ 한국생산기술연구원(원장 이상목, 이하 생기원)과 한양대학교(총장 이기정) 공동연구팀이 반복적인 긁힘과 접힘 환경에서도 표면 성능을 스스로 회복할 수 있는 고경도 코팅 소재 기",https://www.kitech.re.kr/pages/61?id=14253&menuMode=READ&q=,14253,https://www.kitech.re.kr/api/v1/attachment/53f8223c-fc26-4870-95ba-f5281bc0efde?size=640,,
블로그,2026-01-16,[이달의 우수 연구자] 산업 전환을 뒷받침하는 에너지·반도체 기술 개발,"이달의 우수연구자, 한국생산기술연구원 양원, 조한철 연구원을 소개합니다 ​ 기후변화 대응과 탄소중립은 더 이상 먼 미래의 과제가 아닙니다. 산업 현장에서 지금 이 순간에도 가장 현실적인 해답을 요구받고 있는 문제입니다. 특히 에너지 생산은 오랜 기간 화석 연료에 의존해 왔고, 이는 산업 성장의 기반이자 동시에 온실가스 배출의 주된 원인이었습니다. 발전과 열",https://blog.naver.com/kitechblog/224148907048,224148907048,https://mblogthumb-phinf.pstatic.net/MjAyNjAxMTRfNiAg/MDAxNzY4Mzc5NTQyNzk3.UPsGOq73W9Mn790hMXtky-tA4hAhaDiUXSTJb2-UCtUg.sd77LGfLjt-ALbUpTeZZHse6FxBfHTz5bB8H2nYJULAg.JPEG/%EC%9D%B4%EB%8B%AC%EC%9D%98_%EC%9A%B0%EC%88%98%EC%97%B0%EA%B5%AC%EC%9E%90_8%EC%9B%94.jpg?type=w800,,cat=79/43
유튜브,2026-01-08,"[What if..🧑 🔬❓] 만약에, 스티로폼을 계속 사용한다면?",,https://www.youtube.com/watch?v=sO99xbZDNE8,sO99xbZDNE8,https://i.ytimg.com/vi/sO99xbZDNE8/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLANQ_E7l9UrAaiAn5oLQOTWqm4H0g,,
유튜브,2026-01-08,[Conductive Bonding Materials] Daesung Metals – Sinter Paste & Flux Manufacturing,,https://www.youtube.com/watch?v=ndBa61c-_NU,ndBa61c-_NU,https://i.ytimg.com/vi/ndBa61c-_NU/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAOkxsyhp7hg0-mxbUzV6w-63jujA,,
유튜브,2026-01-08,[Ceramic Plasma Coating] Sewon Hard Facing – Industrial Sleeve Surface Treatment Technology,,https://www.youtube.com/watch?v=c_qVKheneU4,c_qVKheneU4,https://i.ytimg.com/vi/c_qVKheneU4/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAkNNCiAuWCQfsCiFIiYl5oBPNUyg,,
포토뉴스,2026-01-02,[2026.01.02] 2026년 시무식 개최,"한국생산기술연구원이 1월 2일(금) 11시, 천안 희망나눔홀에서 '2026년 시무식'을 개최했다. 시무식은 장기근속자를 비롯해 근무공로, 노사협력, 안전보건, 우수연구 등 연구원 발전에 기여한 직원들을 시상하는 것으로 문을 열었다. 제조AI센터장 윤종필 수석연구원이 NST(국가과학기술연구회) 이사장 상을 수상한 것에 대한 외부 포상도 진행됐다. 이상목 원장",https://www.kitech.re.kr/pages/60?id=13005&menuMode=READ&q=,13005,https://www.kitech.re.kr/api/v1/attachment/254770bc-43ac-4c11-91aa-fa1886145722?size=640,,
보도자료,2025-12-18,"[2025.12.18.] 생기원,‘보는’교육에서‘현장 중심’교육으로 전환","생기원,‘보는’교육에서‘현장 중심’교육으로 전환 - 연구자가 직접 위험장비 선정·시연…외국인 연구자까지 포괄 - 안전 관련 예산 매년 확대, 전사적 안전교육 체계 구축 □ 연구 개발 규모가 커지고 고도화되면서 위험물질을 다루거나 복잡한 실험장비를 사용하는 비중이 증가하고 있다. ㅇ 이에 따라 실험실 내 잠재적 위험 요인도 함께 확대되고 있으나, 국내에서는",https://www.kitech.re.kr/pages/61?id=14251&menuMode=READ&q=,14251,https://www.kitech.re.kr/api/v1/attachment/56485dbc-1b48-4816-aed3-c1735c4256ba?size=640,,
보도자료,2025-12-09,[2025.12.09] 송전선 주변 자기장으로 드론 충전한다,"송전선 주변 자기장으로 드론 충전한다 - 송전선 자기장 활용하는 고효율 하베스팅 기술 개발 - 초소형 드론용 자가전원 기술로 발전 계획 □ 한국생산기술연구원 (원장 이상목, 이하 생기원)이 송전선에서 발생하는 자기장을 전력으로 전환하는 에너지하베스팅 기술을 개발했다. ㅇ 생기원 에너지나노그룹 윤승하 수석연구원 연구팀 은 송전선 주변에서 발생하는 원형 자기장",https://www.kitech.re.kr/pages/61?id=14250&menuMode=READ&q=,14250,https://www.kitech.re.kr/api/v1/attachment/c5c1cc60-3366-4eac-844c-393457fb1682?size=640,,
유튜브,2025-12-08,[Precision Stage Manufacturing] VAD Instrument – Motion Control for Semiconductor & Display,,https://www.youtube.com/watch?v=rWzBcxilCfc,rWzBcxilCfc,https://i.ytimg.com/vi/rWzBcxilCfc/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBgXI9JC85JWMbccac0fQsP6yK5mg,,
유튜브,2025-12-08,[AI Safety Monitoring] Rina Solution – Real-Time Monitoring with Flexible AE Sensors,,https://www.youtube.com/watch?v=n3N7sO5pqCY,n3N7sO5pqCY,https://i.ytimg.com/vi/n3N7sO5pqCY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBTVWhaPOmWwybsXkPojqtC2JElFA,,
유튜브,2025-12-08,"로봇 연구만 25년, 공공연구기관 퇴사 후 기업가치 300억을 돌파한 비결",,https://www.youtube.com/watch?v=I15aZaASQZ0,I15aZaASQZ0,https://i.ytimg.com/vi/I15aZaASQZ0/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDj36Cg9vZWlb37nDKaKr7Y1urp5g,,
유튜브,2025-12-08,"[BPM] 오늘보다 Better한 내일을 위해, 사람과 환경이 공존하는 기술",,https://www.youtube.com/watch?v=B3zQSzFDeWk,B3zQSzFDeWk,https://i.ytimg.com/vi/B3zQSzFDeWk/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLD8VkmL0hle4RqWKz6YkksDQmLHpA,,
포토뉴스,2025-12-01,"[2025.12.01] 지속가능기술연구소, 연구 1·2동 준공 기념식 개최","12월 1일, 생기원 지속가능기술연구소 준공식이 열렸다. 이번 준공식은 2021년부터 추진되어 2025년 11월 완공된 지속가능기술연구소 환경개선 작업을 기념하기 위해 개최됐다. 연구 1·2동에 대한 대수선 및 증축을 비롯해 노후시설물 개선, 안전관리시스템 보강, 화학실험실 구축 및 화학용 전문 연구장비 설치 ·운영 등 첨단 연구 환경을 구축헤 미래 제조산",https://www.kitech.re.kr/pages/60?id=13004&menuMode=READ&q=,13004,https://www.kitech.re.kr/api/v1/attachment/433085aa-1256-47c6-8edc-61772b97dd7e?size=640,,
포토뉴스,2025-11-27,"[2025.11.27] 생기원, AI 기반 제조혁신을 위한 MoU 체결","11 월 27 일 ( 목 ), 한국생산기술연구원이 강원특별자치도와 ‘ 강원 제조산업 AX 대전환 촉진 ’ 을 위한 업무협약을 체결했다 . 양 기관은 산업통상자원부 AI 팩토리 선도 프로젝트 를 토대로 시멘트 · 해저케이블 분야 AI 팩토리 구축을 확대하고 , 향후 협력 대상을 반도체 등 첨단 분야로 넓혀갈 계획이다 . 또한 AI 팩토리 도입 · 확산을 통한",https://www.kitech.re.kr/pages/60?id=13003&menuMode=READ&q=,13003,https://www.kitech.re.kr/api/v1/attachment/66e2692c-1469-45ce-ac50-9079045cddc1?size=640,,
포토뉴스,2025-11-19,"[2025.11.19] KITECH-KIMM-UST-HUST, 과학기술 인재양성 협력을 위한 MoU 체결","11월 19 일(수), 생기원이 과학기술연합대학원대학교 ( 이하 UST), 한국기계연구원 ( 이하 KIMM) 과 하노이과학기술대학교 (Hanoi University of Science and Technology, 이하 HUST) 를 방문해 KITECN-KIMM-UST-HUST 4 자 간 MoU 를 체결했다 . 이번 협약에서는 인재양성 프로그램 교류 , 공동",https://www.kitech.re.kr/pages/60?id=13001&menuMode=READ&q=,13001,https://www.kitech.re.kr/api/v1/attachment/8adeec45-4968-4283-a580-ad392f3cbb8a?size=640,,
보도자료,2025-11-18,"[2025.11.18] 생기원, 베트남 진출 제조기업 기술지원 확대","생기원, 베트남 진출 제조기업 기술지원 확대 - 17일, 하노이 한인상공인연합회 기업들과 현장 간담회 - 현지 수요 기반 맞춤형 솔루션 제공으로 진출 기업의 제조혁신 지원 □ 한국생산기술연구원(원장 이상목, 이하 생기원)이 11월 17일(현지 시각 16시)시) 하노이 한인상공인연합회(KOCHAM)* 회의실에서 ‘베트남 진출 한국 제조기업 간담회’를 열었다.",https://www.kitech.re.kr/pages/61?id=14249&menuMode=READ&q=,14249,https://www.kitech.re.kr/api/v1/attachment/0e98a1f2-fb80-4747-83eb-39f7d3e5d117?size=640,,
포토뉴스,2025-11-17,"[2025.11.17] 생기원, 한-베트남 과학기술인 협력 세미나 개최","11월 17일, 베트남 하노이 뒤 파르크에서 ' 한–베트남 과학기술인 협력 세미나' 를 개최했다. 생기원은 그동안 베트남에 진출한 한국 제조기업들의 기술 애로를 해결하고, 현지 산업 경쟁력 강화를 위한 기술지원과 공동연구를 꾸준히 추진해 왔다. 이번 논의를 바탕으로 인공지능 , 빅데이터 , 스마트 제조 등 디지털 혁신 기반 기술 교류를 더욱 확대하고, 대한",https://www.kitech.re.kr/pages/60?id=13002&menuMode=READ&q=,13002,https://www.kitech.re.kr/api/v1/attachment/646ed39e-58a8-47f0-b43e-b072b76878b7?size=640,,
포토뉴스,2025-11-17,"[2025.11.17] 생기원, 베트남 진출 한국 제조기업 간담회 개최","11월 17일, 베트남 하노이 한인상공인연합회(KOCHAM) 회의실에서 제조기업 간담회를 개최했다. 이번 간담회에는 이상목 원장 , 고태연 하노이 코참 회장 을 비롯해 희성전자, 두남화학 비나, 수산 비나 모터 등 9 개 베트남 진출 한국 제조 기업 관계자들이 참석해 기술 수요를 설명하고, 지원 필요성을 강조했다. 생기원은 전문 연구인력 매칭, 현장 기술",https://www.kitech.re.kr/pages/60?id=13000&menuMode=READ&q=,13000,https://www.kitech.re.kr/api/v1/attachment/7bd3bbff-1a09-44d4-a1a7-4132aeb2a46c?size=640,,
보도자료,2025-11-11,[2025.11.11] AI로 판재성형 불량 해결한다,"AI로 판재성형 불량 해결한다 - 생기원, 판재성형 전 이상 예측·감지기술 개발 - 자동차·전기전자 등 제조 현장 품질관리 자동화 가능 □ 한국생산기술연구원(원장 이상목, 이하 생기원)이 금속 판재성형 공정을 실시간으로 관리할 수 있는 ‘AI 기반 지능형 판재성형 통합 모니터링 시스템’을 개발했다. ㅇ 생기원 유연생산연구부문 배기현 수석연구원 연구팀은 소재",https://www.kitech.re.kr/pages/61?id=14248&menuMode=READ&q=,14248,https://www.kitech.re.kr/api/v1/attachment/2af69de1-23e9-4924-882e-8e4a3a07e10a?size=640,,
유튜브,2025-11-08,[Valve Spindle Machining] I.M.E Corporation – Precision Engine Components for Marine Applications,,https://www.youtube.com/watch?v=oHd3Fk71-qE,oHd3Fk71-qE,https://i.ytimg.com/vi/oHd3Fk71-qE/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCJiF8DH8RJvGJ7bwex_oFk4NXZuQ,,
유튜브,2025-11-08,[Seamless Tube Manufacturing] TRIS Tube – Precision Piping for Hydrogen & Semiconductor Industries,,https://www.youtube.com/watch?v=gfuUyrz2SNs,gfuUyrz2SNs,https://i.ytimg.com/vi/gfuUyrz2SNs/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLC8GUoCPAGZond-P9k0RDNwtTSrUQ,,
유튜브,2025-11-08,"[What if..🧑 🔬❓] 만약에, 우리 몸에 초미세먼지가 계속 쌓인다면?",,https://www.youtube.com/watch?v=_1A13MYJKWM,_1A13MYJKWM,https://i.ytimg.com/vi/_1A13MYJKWM/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCi-49pVp78ErNFwdqRKavaf_1W9w,,
유튜브,2025-11-08,MZ랑 일하는 게 어렵다?! 이 대표는 다르다! MZ 직원들이 믿고 따르는 3D프린팅 솔루션 기업 대표의 하루,,https://www.youtube.com/watch?v=ZBESt_Pk3rs,ZBESt_Pk3rs,https://i.ytimg.com/vi/ZBESt_Pk3rs/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDJUtqL0MbHo7astn_KI1Q9hGAvzQ,,
유튜브,2025-11-08,대기업만 가능할 것 같았던 '이것' 추구하며 연 매출 32억 달성한 중소 제조기업 대표,,https://www.youtube.com/watch?v=9dICAD7MwyI,9dICAD7MwyI,https://i.ytimg.com/vi/9dICAD7MwyI/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDY2WgpXA7euhPbi8DAaCy1oHglrA,,
포토뉴스,2025-11-05,"[2025.11.05] 생기원, 문화체육관광부 지정 2025년 여가친화경영 인증기관 선정","한국생산기술연구원이 문화체육관광부로부터 ‘여가친화경영’ 기관에 선정됐다. ‘여가친화경영 인증제’는 일과 여가를 조화롭게 병행하는 기업·기관을 공식 인증하는 제도다. 생기원은 여가친화경영 실천을 위해 일과 생활 균형을 이룰 수 있는 조직문화 프로그램을 운영해왔으며, 전 구성원이 자율적으로 참여하는 조직문화 개선 리딩그룹 ‘KITECH BUILDER’를 중심으",https://www.kitech.re.kr/pages/60?id=12999&menuMode=READ&q=,12999,https://www.kitech.re.kr/api/v1/attachment/07ca31ec-a099-4d61-8272-730880bca6ff?size=640,,
보도자료,2025-11-05,"[2025.11.05] 생기원, 여가친화경영 인증 획득","생기원 , 여가친화경영 인증 획득 - 문화체육관광부 지정 2025년 여가친화경영 인증기관 선정 - 연구기관형 일·생활 균형 문화 정착, 조직문화 혁신 성과 인정 □ 한국생산기술연구원(원장 이상목, 이하 ‘생기원’)이 문화체육관광부로부터 ‘여가친화경영’ 기관에선정됐다. ㅇ ‘여가친화경영 인증제’는 일과 여가를 조화롭게 병행하는 기업·기관을 공식 인증하는 제도",https://www.kitech.re.kr/pages/61?id=14247&menuMode=READ&q=,14247,https://www.kitech.re.kr/api/v1/attachment/03d3e9f0-7a3a-42b7-b65d-bc069d982451?size=640,,
보도자료,2025-10-30,[2025.10.30] 영상만으로 근육 부하 정밀 측정한다,"영상만으로 근육 부하 측정한다 - 생기원, 센서 없이 근육 부하 예측하는 영상 기반 AI모델 개발 - 근로자 피로·부하 관리 위한 스마트 안전관리 기술로 발전 계획 □ 산업 현장에서 반복적인 동작과 무거운 하중을 다루는 작업은 작업자의 근육 피로와 근골격계 질환 위험을 높인다. ㅇ 근육 부하를 정확히 측정해 피로 누적을 예방하는 기술이 요구되지만, 근전도(",https://www.kitech.re.kr/pages/61?id=14246&menuMode=READ&q=,14246,https://www.kitech.re.kr/api/v1/attachment/8b8c05ab-f9d8-4bc9-9dc2-99063bf1fbd8?size=640,,
포토뉴스,2025-10-22,"[2025.10.22] 생기원-과학기술정책연구원, 상호협력 간담회 개최","한국생산기술연구원이 10월 22일(수) 과학기술정책연구원(STEPI)과 제조혁신 협력 강화를 논의하는 간담회를 열었다. 이상목 생기원 원장은 ‘생산기술 대전환’의 청사진과 주요 추진 현황을 공유하고, 제조산업의 변화에 대응하기 위한 혁신 방향을 제시했다. 이어진 토론에서는 과학기술정책과 제조혁신의 연계를 강화하기 위한 방안을 논의하며, 양 기관의 역할과 협",https://www.kitech.re.kr/pages/60?id=12998&menuMode=READ&q=,12998,https://www.kitech.re.kr/api/v1/attachment/65e7a7da-254f-4182-a8cb-0818c49892a8?size=640,,
유튜브,2025-10-08,"[Steel Coil Slitting] OSEONG STEEL – High-Speed, AI-Inspected Processing",,https://www.youtube.com/watch?v=t_r0eKSfdoQ,t_r0eKSfdoQ,https://i.ytimg.com/vi/t_r0eKSfdoQ/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDsfIvnPjPbUgeuuluC11Ka5Uf70Q,,
유튜브,2025-10-08,"[What if..🧑 🔬❓] 만약에, 더이상 아이를 낳는 게 불가능해진다면?",,https://www.youtube.com/watch?v=NfpIuBHw8PI,NfpIuBHw8PI,https://i.ytimg.com/vi/NfpIuBHw8PI/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLArOTgX0vMOzL3llHyjY0ScUI7gXA,,
유튜브,2025-10-08,[ㅋㅋㅣ텍홍보실] EP.04 왜 항상 수정사항은 마감 직전에,,https://www.youtube.com/watch?v=CQxlfI7GB1s,CQxlfI7GB1s,https://i.ytimg.com/vi/CQxlfI7GB1s/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLB04cErFnlaKeyzcjOyi2fyqCFsjg,,
유튜브,2025-10-08,[ㅋㅋㅣ텍홍보실] EP.03 열 받게 하지 말고 에어컨 파워냉방으로 틀어,,https://www.youtube.com/watch?v=-qOVwHE96Js,-qOVwHE96Js,https://i.ytimg.com/vi/-qOVwHE96Js/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBiZlVCcBbaE0z6wPq3pS9yaj0K_A,,
포토뉴스,2025-10-01,[2025.10.01] 충남 인재혁신 공동추진위원회 출범,"한국생산기술연구원과 한국기술교육대학교가 10월 1일(수), 천안에서 '충남 인재육성 공동추진 위원회(이하 위원회) 출범식'을 개최했다. 이번 행사는 지역 기업 수요에 기반한 인재육성과 R&D 협력을 위해 마련됐다. 위원회는 생기원과 한기대가 공동 운영하고, 충청남도, 충남테크노파크, 충남연구원, 충남지역산업진흥원 소속 전문가들이 자문위원으로 참여한다. 위원",https://www.kitech.re.kr/pages/60?id=12997&menuMode=READ&q=,12997,https://www.kitech.re.kr/api/v1/attachment/97e0c686-59e5-474e-90be-9991fbc26d3f?size=640,,
